"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 16:40:29 NOVT 2020","Tue Dec 15 16:40:32 NOVT 2020","3513","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Tue Dec 15 16:41:09 NOVT 2020","Tue Dec 15 16:41:12 NOVT 2020","3585","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"broken","Tue Dec 15 16:42:26 NOVT 2020","Tue Dec 15 16:42:31 NOVT 2020","4334","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Tue Dec 15 16:40:11 NOVT 2020","Tue Dec 15 16:40:16 NOVT 2020","4389","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Tue Dec 15 16:45:28 NOVT 2020","Tue Dec 15 16:45:30 NOVT 2020","2010","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Tue Dec 15 16:40:44 NOVT 2020","Tue Dec 15 16:40:48 NOVT 2020","3829","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"passed","Tue Dec 15 16:45:41 NOVT 2020","Tue Dec 15 16:45:43 NOVT 2020","2629","module_5","test_main_page","TestLoginPage","","","test_quest_should_be_login_form",""
"passed","Tue Dec 15 16:40:20 NOVT 2020","Tue Dec 15 16:40:24 NOVT 2020","3946","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"passed","Tue Dec 15 16:45:34 NOVT 2020","Tue Dec 15 16:45:37 NOVT 2020","2572","module_5","test_main_page","TestLoginPage","","","test_quest_should_be_login_url",""
"passed","Tue Dec 15 16:45:47 NOVT 2020","Tue Dec 15 16:45:50 NOVT 2020","2571","module_5","test_main_page","TestLoginPage","","","test_quest_should_be_register_form",""
"passed","Tue Dec 15 16:40:03 NOVT 2020","Tue Dec 15 16:40:07 NOVT 2020","3643","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"passed","Tue Dec 15 16:41:16 NOVT 2020","Tue Dec 15 16:41:29 NOVT 2020","12523","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"skipped","Tue Dec 15 16:41:33 NOVT 2020","Tue Dec 15 16:41:37 NOVT 2020","3815","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Tue Dec 15 16:41:01 NOVT 2020","Tue Dec 15 16:41:04 NOVT 2020","3848","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Tue Dec 15 16:45:21 NOVT 2020","Tue Dec 15 16:45:24 NOVT 2020","2486","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Tue Dec 15 16:41:55 NOVT 2020","Tue Dec 15 16:41:58 NOVT 2020","2618","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Tue Dec 15 16:41:49 NOVT 2020","Tue Dec 15 16:41:51 NOVT 2020","2016","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Tue Dec 15 16:45:54 NOVT 2020","Tue Dec 15 16:46:07 NOVT 2020","13088","module_5","test_main_page","TestBasketPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Tue Dec 15 16:42:43 NOVT 2020","Tue Dec 15 16:42:55 NOVT 2020","12165","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"skipped","Tue Dec 15 16:41:41 NOVT 2020","Tue Dec 15 16:41:45 NOVT 2020","3560","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Tue Dec 15 16:40:36 NOVT 2020","Tue Dec 15 16:40:40 NOVT 2020","3645","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Tue Dec 15 16:39:55 NOVT 2020","Tue Dec 15 16:39:59 NOVT 2020","4063","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"failed","Tue Dec 15 16:40:53 NOVT 2020","Tue Dec 15 16:40:56 NOVT 2020","3554","module_5","test_product_page","TestProductParametrize","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Tue Dec 15 16:42:02 NOVT 2020","Tue Dec 15 16:42:15 NOVT 2020","13253","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
